Local_ID,Grade_Level,Raw_Eth_Race,Num_Eth_Race,Eth_W,Eth_H,Eth_B,Eth_O,Economic_Disadvantage,English_Learner,Special_Ed,Gifted_Talented,Number_Discipline_Incidents,YN_Discipline,Num_Gender,Num_Campus_Name,CheetoMS1,PizzaMS2,TunaMS3,MustardMS4,WatermelonMS5,Math_Avg,ELA_Avg,Math_Pass,ELA_Pass
1300,8,A,4,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,97,95.5,1,1
1301,7,W,1,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,87.5,81,1,1
1302,6,H,2,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,78.5,77.5,1,1
1303,7,W,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,90,80.5,1,1
1304,8,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,91,88.5,1,1
1305,8,W,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,79,85,1,1
1306,8,W,1,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,1,91,83,1,1
1307,6,H,2,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,89.5,92,1,1
1308,7,W,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,71.5,68.5,1,0
1309,8,W,1,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,98,95.5,1,1
1310,7,H,2,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,75.5,76.5,1,1
1311,8,H,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,76,73,1,1
1312,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,71,76.5,1,1
1313,8,B,3,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,1,95,93.5,1,1
1314,8,H,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,92.5,82,1,1
1315,7,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,82.5,71,1,1
1316,8,W,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,82.5,79.5,1,1
1317,8,W,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,74.5,79.5,1,1
1318,7,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,90,89.5,1,1
1319,8,A,4,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,97,94,1,1
1320,8,H,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,91,81,1,1
1321,8,B,3,0,0,1,0,1,0,1,0,0,0,0,5,0,0,0,0,1,64.5,84.5,0,1
1322,7,H,2,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,78.5,83.5,1,1
1323,8,W,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,86,88,1,1
1324,8,W,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,97.5,95,1,1
1325,8,W,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,87,86.5,1,1
1326,8,W,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,90.5,93.5,1,1
1327,6,A,4,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,89.5,93,1,1
1328,6,H,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,78.5,81,1,1
1329,8,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,97,86.5,1,1
1330,8,W,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,88,92.5,1,1
1331,7,A,4,0,0,0,1,1,1,0,0,0,0,1,5,0,0,0,0,1,83,86.5,1,1
1332,8,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,87.5,89.5,1,1
