"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"4207",7,"B",3,0,0,1,0,1,0,1,0,0,0,1,3,0,0,1,0,0,76,1,1
"757",8,"W",1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,73.5,1,1
"1745",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,79,1,1
"2456",6,"W",1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,85.5,1,1
"750",8,"I",6,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,84,1,1
"1793",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,85.5,1,1
"4833",6,"W",1,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,1,92.5,1,1
"665",8,"H",2,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,76,1,1
"53",8,"W",1,1,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,83.5,1,1
"827",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,78.5,1,1
"4064",8,"W",1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,93,1,1
"4358",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,87,1,1
"2579",6,"H",2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,90.5,1,1
"3145",7,"W",1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,80,1,1
"4233",6,"A",4,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,91.5,1,1
"1428",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,92.5,1,1
"3343",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,94.5,1,1
"754",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,88.5,1,1
"4917",8,"H",2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,76,1,1
"1488",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,75.5,1,1
